z, dz, mu, dmu
0.8221,0,43.442,0.283
0.5538,0,42.462,0.156
0.1253,0,38.715,0.113
0.8421,0,43.592,0.263
0.4437,0,41.761,0.152
0.7277,0,43.107,0.231
0.6837,0,43.108,0.291
0.4425,0,41.859,0.114
0.7267,0,43.153,0.195
0.2825,0,40.854,0.109
0.4045,0,41.708,0.111
0.5196,0,42.358,0.121
0.6907,0,42.786,0.213
1.0608,0,43.998,0.232
0.5766,0,42.444,0.138
0.2685,0,40.513,0.108
0.7207,0,43.113,0.225
0.2505,0,40.403,0.116
0.7607,0,43.323,0.282
0.6982,0,43.072,0.245
0.5503,0,42.409,0.129
0.7301,0,42.919,0.210
0.8480,0,43.723,0.231
0.9978,0,43.907,0.205
0.4354,0,41.563,0.112
0.4095,0,41.684,0.109
0.3016,0,40.952,0.108
1.2991,0,44.711,0.176
1.0208,0,44.272,0.219
0.8397,0,43.364,0.170
1.1209,0,44.414,0.204
1.2309,0,44.732,0.216
0.9742,0,44.097,0.181
0.9708,0,44.609,0.349
0.0642,0,37.104,0.139
0.1290,0,38.785,0.163
0.1029,0,38.371,0.145
0.0441,0,36.184,0.148
0.1130,0,38.528,0.156
0.2561,0,40.485,0.220
0.3803,0,41.553,0.314
0.1455,0,38.789,0.178
0.0889,0,37.848,0.132
0.2606,0,40.391,0.199
0.0789,0,37.740,0.152
0.0830,0,37.975,0.143
0.1657,0,39.112,0.163
0.1682,0,39.231,0.158
0.1706,0,39.346,0.161
0.1703,0,39.478,0.135
0.1204,0,38.704,0.143
0.2765,0,40.472,0.229
0.2316,0,40.059,0.181
0.3057,0,40.439,0.286
0.0800,0,37.757,0.129
0.1742,0,39.266,0.160
0.1387,0,38.963,0.160
0.1461,0,39.219,0.163
0.0813,0,37.840,0.128
0.2338,0,40.187,0.178
0.2566,0,40.519,0.213
0.2456,0,40.260,0.176
0.1259,0,38.835,0.209
0.2235,0,40.211,0.164
0.1026,0,38.430,0.135
0.1197,0,38.734,0.131
0.1806,0,39.455,0.170
0.1971,0,39.867,0.149
0.2292,0,40.143,0.186
0.2645,0,40.604,0.214
0.1034,0,38.298,0.128
0.3644,0,41.649,0.252
0.2056,0,39.631,0.147
0.1798,0,39.898,0.184
0.1996,0,39.910,0.158
0.1565,0,39.138,0.140
0.1618,0,39.476,0.167
0.2095,0,39.911,0.229
0.2418,0,40.316,0.204
0.2365,0,40.480,0.180
0.2267,0,40.108,0.167
0.2968,0,40.632,0.187
0.2085,0,39.954,0.155
0.2510,0,40.458,0.203
0.2501,0,40.525,0.170
0.1177,0,38.420,0.130
0.2197,0,40.107,0.164
0.1490,0,39.164,0.134
0.2874,0,40.868,0.184
0.1436,0,38.961,0.131
0.3284,0,40.821,0.226
0.2463,0,40.351,0.158
0.1197,0,38.887,0.141
0.3284,0,41.343,0.273
0.2151,0,40.408,0.189
0.1448,0,39.038,0.151
0.1324,0,39.140,0.135
0.2108,0,39.768,0.154
0.2040,0,39.916,0.151
0.2795,0,40.492,0.188
0.0443,0,36.210,0.133
0.1804,0,39.344,0.138
0.2607,0,40.640,0.180
0.0565,0,36.773,0.191
0.2126,0,40.179,0.170
0.3694,0,41.653,0.219
0.1739,0,39.593,0.138
0.1427,0,39.029,0.133
0.1779,0,39.466,0.139
0.3284,0,40.860,0.205
0.2535,0,40.704,0.200
0.3000,0,40.552,0.188
0.1059,0,38.167,0.131
0.2233,0,40.120,0.163
0.1185,0,38.712,0.130
0.1765,0,39.515,0.137
0.1828,0,39.749,0.158
0.2976,0,40.626,0.230
0.1970,0,39.740,0.151
0.1530,0,39.263,0.131
0.2485,0,40.278,0.175
0.1382,0,38.943,0.132
0.2070,0,40.300,0.180
0.2147,0,39.916,0.154
0.3063,0,40.934,0.226
0.2470,0,40.449,0.165
0.1980,0,39.682,0.159
0.2226,0,40.173,0.165
0.1351,0,39.164,0.143
0.2105,0,39.850,0.155
0.2726,0,40.534,0.161
0.2466,0,39.985,0.153
0.2207,0,39.904,0.195
0.2745,0,40.439,0.191
0.1766,0,39.686,0.144
0.3109,0,40.946,0.216
0.1844,0,39.751,0.142
0.1594,0,39.018,0.133
0.2198,0,40.088,0.159
0.2521,0,40.258,0.187
0.1812,0,39.490,0.136
0.1737,0,39.739,0.147
0.3805,0,41.034,0.245
0.1787,0,39.589,0.140
0.2457,0,40.049,0.192
0.2091,0,39.862,0.157
0.2495,0,40.527,0.241
0.1339,0,38.863,0.131
0.1771,0,39.574,0.148
0.2811,0,40.572,0.185
0.1738,0,39.445,0.186
0.1965,0,39.912,0.167
0.3640,0,41.517,0.232
0.3784,0,41.984,0.247
0.3165,0,40.915,0.208
0.1832,0,39.466,0.144
0.2410,0,40.426,0.164
0.2020,0,39.812,0.164
0.1687,0,39.452,0.165
0.1979,0,39.855,0.149
0.1228,0,38.637,0.134
0.2032,0,39.921,0.156
0.1274,0,38.718,0.142
0.2755,0,40.575,0.222
0.1447,0,39.335,0.136
0.3344,0,41.151,0.237
0.1958,0,39.876,0.148
0.1939,0,39.812,0.170
0.2497,0,40.333,0.193
0.1486,0,39.287,0.141
0.1560,0,39.245,0.138
0.0958,0,38.195,0.141
0.1507,0,39.023,0.168
0.3093,0,40.796,0.266
0.2486,0,40.410,0.173
0.3655,0,41.402,0.272
0.1177,0,38.555,0.144
0.1918,0,39.772,0.168
0.1826,0,39.523,0.166
0.2347,0,40.163,0.192
0.2465,0,40.261,0.204
0.2885,0,40.246,0.204
0.2096,0,39.984,0.209
0.1920,0,39.598,0.173
0.1140,0,38.356,0.163
0.1139,0,38.705,0.169
0.1988,0,39.637,0.211
0.2206,0,39.945,0.283
0.1826,0,39.742,0.156
0.1590,0,39.259,0.196
0.0785,0,37.955,0.137
0.1386,0,39.258,0.157
0.1808,0,39.528,0.172
0.1776,0,39.528,0.158
0.1707,0,39.322,0.154
0.2338,0,40.170,0.198
0.0715,0,37.281,0.240
0.1546,0,39.261,0.267
0.0901,0,37.738,0.160
0.1766,0,40.034,0.292
0.1305,0,39.078,0.214
0.1820,0,39.494,0.158
0.2562,0,40.282,0.185
0.1381,0,38.874,0.133
0.1707,0,39.721,0.160
0.2167,0,40.115,0.159
0.2456,0,39.902,0.186
0.1438,0,39.017,0.132
0.2486,0,40.432,0.181
